resonance_network,schrodinger,dirac,planck,totalMinedBlocks,totalRewards
,,qzmssQyhfreQ7t41spcPP2vv1XBUsC1A4915ogJW4bXfCvx4D,,89778,877676606141581253
,,qzjfAe19wbQStkPuCZxiST4dy5ghtXBNgyNiBRu7N9RdEpZuA,,75806,736282492892638973
,,,qzjVZ8E957sD3cp8XS8Cf3bD4qLZPjYsdm6NSm5ZbA2o5BDZj,73694,28376089888111304
qzmu2UxAm4JH9CjMLx3yVnPJGrwbq6iJmKq6ZominTXjmSDEN,,,,53704,535020324406211696
,,qzngDmhUrTbdCUUMyzoWFTVer4dVEqxEGJbMwDzgq1vtFDnYu,,47456,466488432074306629
,,qzkVESSdXeQ8Jb6wYC7CtCj5hQqPqzFgUjgvDjc9E1gQ7LHoK,,41450,395933986280903282
,,qzpsKarxVcw79pH1zKpRHeX2tiBZdqpJxbFBiDuo3ocRvd5MT,,40121,390535114418194789
,,qzpdQxGyLBtNC4hYE4XzH96KAqyfBBEbSAMGvLAZta4KMWNqx,,38785,376833756387786351
,qzpShigRwEfoqWefYkCxCyHyyNMFV2rZtq7zgLQoN5JbwbWhE,,,32585,324711129504010233
qzmc7PZeKBhFPF2eUfcGgSqSLafPCjVXW8qTjMpNu7gQB3iTj,,,,31889,318700028523679757
,,qzqAn1M81bJ4BThz2BfRRhNhX82hhBnYbs65wAnh6re9kyo33,,31392,303970828211702981
,,qzkUpykcRNm4R5T4jQELTP7WDNkMJ557yHKYgpLqobdbBETcp,,27954,273594426168281683
qzoJT7eJRBG44EWRuL8MsZGvXKALkzykkfy7AmYYPbGWWNpe6,,,,27659,276480016513807334
qznBscoqfgchvYUUYCY6o8f8HsJWNvU9SC3DKMvoLu438Hrmu,,,,27337,273260016362702351
,qzpffwT52TxEg2G8hmZ4NcJ1vjw788kyXX329VJzSSNuREkVU,qzpffwT52TxEg2G8hmZ4NcJ1vjw788kyXX329VJzSSNuREkVU,,27249,268543649251809762
,,,qznaZcifLXCN9M6cWeJ91XsGQ7NCbkiZCwaLouUSP5YMiMzyQ,26614,10256707989777470
qznrsyqc3HEkGy93HxZttNbBtia1nd9UDy5D8HrgfTTqRRnHv,,,,26204,261450088392576320
qzq13T533TiW4esoLg7ZRrsiVeGS9k8pKHERiJTAAuj4uJdvJ,,,,23319,232220164950415339
,qzn1a6f3ttc3NzkXLgKUJ1DD1GmVQ7W7C4bpjLaqDG8cVG3Jb,qzn1a6f3ttc3NzkXLgKUJ1DD1GmVQ7W7C4bpjLaqDG8cVG3Jb,,23316,231911326765829563
,,qzk4ECfeSFbQfJ9zNsAweryn46TttfkMwDmDEw97w4cJoTGzu,,22887,220559029126989393
,,qzjykZBSbNb6JUE4gSamRXbPReSSJi2Jc6Y8M51ALJLBs8odt,,22146,217243145103436307
,,,qzjtwGuPGLy1C8mkpc7hp4ZyiK3WxaPJ5yg2dZtUnGprqZ84r,21915,8314555233784975
,,qzjabKoiGqb2EQKgjadKdcPXeXER7ad3C41ChdWP5YkMiYPBP,,21635,210286642956426625
,qzot2brxs5s468XbYh9D3NoYxpmnp8xkmWzibsqBPrFmqC6FJ,,,21309,212690416690012353
,,qzoa1vPquWNDpZckmSu8b3rp2S7KNbMrtMJ7NWkucfV48vTcF,,20389,200162848660982469
,,,qzqDMhonEncjXczzbaxXYTsFkh2MMDVSpCQXamVvK7EE6NSpY,19992,7724346107780540
,,qzod6rwhRxPVjueF2EZ46iKAWMHdgYLeATdgSPtKG8bJ3i7tr,,19624,188578629886128238
,,qzkMLLy5HaHcUfCHfdEoeiFEAieP2RfKQLcjiTnwCTuiP3kFg,,19440,186821271690995597
,,,qzkJ4DehqdMcBFHqVWPsZ7o6DpW5vJWNmsSs123vc9zCgjTod,18705,7286394758724671
,qzjuqy6MyJRV9fW87fb34VYXYhyEMqyaEtiWNnf3g9yoZdfmP,,,18043,178771571041042176
,qznFyQNkVEqWM13sEq9E4qjT75s6Rfazi9Jq1pNaPpciJvyde,,,17291,172360540124597307
qzmre1UiD9iAzP1fHZq3DyXprfDupoVNFDAJRF6edPDmwjEbR,qzopaRR8MTRyQHh591rhEPZFZ39Ho6x8CZFji4YfKb6nq3C4i,,,16790,165990469170568645
