id,totalMinedBlocks,totalRewards
qzmssQyhfreQ7t41spcPP2vv1XBUsC1A4915ogJW4bXfCvx4D,89778,877676606141581253
qzjfAe19wbQStkPuCZxiST4dy5ghtXBNgyNiBRu7N9RdEpZuA,75806,736282492892638973
qzngDmhUrTbdCUUMyzoWFTVer4dVEqxEGJbMwDzgq1vtFDnYu,47456,466488432074306629
qzkVESSdXeQ8Jb6wYC7CtCj5hQqPqzFgUjgvDjc9E1gQ7LHoK,41450,395933986280903282
qzpsKarxVcw79pH1zKpRHeX2tiBZdqpJxbFBiDuo3ocRvd5MT,40121,390535114418194789
qzpdQxGyLBtNC4hYE4XzH96KAqyfBBEbSAMGvLAZta4KMWNqx,38785,376833756387786351
qzqAn1M81bJ4BThz2BfRRhNhX82hhBnYbs65wAnh6re9kyo33,31392,303970828211702981
qzkUpykcRNm4R5T4jQELTP7WDNkMJ557yHKYgpLqobdbBETcp,27954,273594426168281683
qzk4ECfeSFbQfJ9zNsAweryn46TttfkMwDmDEw97w4cJoTGzu,22887,220559029126989393
qzpffwT52TxEg2G8hmZ4NcJ1vjw788kyXX329VJzSSNuREkVU,22265,218863497175014825
qzjykZBSbNb6JUE4gSamRXbPReSSJi2Jc6Y8M51ALJLBs8odt,22146,217243145103436307
qzjabKoiGqb2EQKgjadKdcPXeXER7ad3C41ChdWP5YkMiYPBP,21635,210286642956426625
qzoa1vPquWNDpZckmSu8b3rp2S7KNbMrtMJ7NWkucfV48vTcF,20389,200162848660982469
qzod6rwhRxPVjueF2EZ46iKAWMHdgYLeATdgSPtKG8bJ3i7tr,19624,188578629886128238
qzkMLLy5HaHcUfCHfdEoeiFEAieP2RfKQLcjiTnwCTuiP3kFg,19440,186821271690995597
qzoAcbQXeGT4LZXdZPcT8qkBJGU8jkDWFiMrodvcUzPDEbumz,16182,151233653228587877
qznvwUzPoZ72bDwaoQyYbabME6dZCQSz1WoY6DtcY7NYv6MQH,15093,146135247753870005
qzq2NpQ4YEM8UedKmT6grZFJCwBtcfZWfnNNACZRtLr5oFn9J,13642,130515947449848489
qzm1ezdaBRnevMFanLZt9fRTZ7kBMxBeHABQ4ZWuQ7hVocECY,12730,125007866978463003
qznsWNgxqNFqNGJHproQZEZm89oih1AebS8dZSFfGTLVspbEf,11929,114457702629304150
qzmReSdCef1efdr8cyoqiCqRKd16LGgyLm6do2Ssgv35YhZYm,11446,112107212666775562
qzkRPsN9EcqGh5YBY9ZtYWKENTe1wyjsF8ETXdXRLg8cUmMip,11272,109733291564927345
qznsgpVYgbmySquQpRWCNWwLotYLcVN4GNPECxfhfTmESjPeu,11262,110331753175948322
qzoRj4BB9yZU592N39bVDaihtRTD3dGSVHuf5B7VB4ogTwDSG,10944,105207181685294194
qznuv4ayRPVmsQP1YAuSdRFyraHgk5JUV59GhokWY4tJNLpMX,9865,95054578068557919
qzpxVNHtbHLCT4p8bCdMsoN59y1Nk5ohrTBJL2CqBMHahzz9T,9788,94596196170288761
qzmjL8bskGfg99oyjz3EzaoZQGUdkuC1PQUFpbvkzHmsavaad,9563,92154999132232896
qznnipanj2hXNrTfa6UUaPkQRX3mxtFkF1FKiNFokKgCTFQsv,9463,93380768090314843
qzn9vq9RmqLTke7rgWhSooFXCTF1c37xqqogQh2Skx8TAwkCn,9408,92081578395152333
qzpR14A35zqXJvZwv7ELpjyiaKgeJ9VY3yU1618Z8TLwWJjzU,9346,91771235531875804
qzqDVTrpK1iB1r4fDmaDt17kReGere5S7QTJnw7e9d6avsfi1,8967,85449540888775065
qzjuRcQLRnipu9foN527EmNYwgBrsKzDHLmpJY5dv7muU14qc,8779,85867986050634249
qznYQKUeV5un22rXh7CCQB7Bsac74jynVDs2qbHk1hpPMjocB,8688,86560315390157117
qzjV3hAsSpehwEH7ufz8CSS9nDjB5BqSirYhNTcZUzsHmZn7Y,8455,80828703635798164
qzoVJ5Ptbw8udqmB2BdqWqUy2zKhbSPHqn4tjevabMBKWqVgH,7431,72784207824336048
qznfAogbxPq6HBesBUgrehTAXPs7D4JMJ4ZKGGjq6pVsozCkY,7222,69123453410918732
qzm4THzkiamY4WAEWBRQvSHNnuF1646QHcLCWWfQkPx8G4spW,6682,65121074851614352
