id,totalMinedBlocks,totalRewards
qzjVZ8E957sD3cp8XS8Cf3bD4qLZPjYsdm6NSm5ZbA2o5BDZj,73105,28155121276846947
qznaZcifLXCN9M6cWeJ91XsGQ7NCbkiZCwaLouUSP5YMiMzyQ,26614,10256707989777470
qzqDMhonEncjXczzbaxXYTsFkh2MMDVSpCQXamVvK7EE6NSpY,19992,7724346107780540
qzkJ4DehqdMcBFHqVWPsZ7o6DpW5vJWNmsSs123vc9zCgjTod,18705,7286394758724671
qzjtwGuPGLy1C8mkpc7hp4ZyiK3WxaPJ5yg2dZtUnGprqZ84r,17816,6791663597286986
qzoe6nFgmXGwHA5zyUKwwGaiwFZjUBCvmXWCvZsnVA1LHEuHt,14174,5433573819629701
qzq92jufqAi6mq6NejVjbnFSHmWGp2btEz7jyCbqW2t2NAYZw,13361,5141084520099119
qzoUXSq3JiS3FNWLT1sX93orRW8iub9jijuKNs162oYf7gcmH,12655,4902730825106734
qzozjfZd8vfVFdoKbtmezfMWV21ngt2Qc429Df1uT8u5CMeWZ,12639,4820581667301216
qzk5T5k7XV5UwErhdCadnr5YG12rd7ZwXXMdQ9jKU8j1Qs8z6,11782,4716136748065193
qzogGp7Wf1UJn9gWNr6qbEhHtyvVPFXq4ResHiCRnTNVX73Yy,11307,4347312148743515
qzpkSBJZ2seaisouXx5r9HnhMzFUNrx8FdLTQLcE27veKurTc,10821,4255608072981682
qzoqy3pcLsBcPpGFqj9BTv3UyvRB9o8ScnKqcQfSbQTR6odnu,9936,3813518767117941
qzoGZBgSuPqRLLHe5E3MWR2Az3bLXdiobDJN56KdMoF5tyKhc,9557,3745411546476269
qzq3yzbR7iXgkAEWdANe7WkvCvHqZVsmTJVQ9qkWax28wKQ1d,9252,3526115255654701
qzoh8Nvauqx6fHiFftu8UU3vJncL23sZY9sP9PjxX8NtbbU71,9098,3508256206841844
qzk8ik4XDs99LechSUQ7X4UcsEn3x5G2K6HVAh12VGaeLKCaE,8839,3399258452975923
qzpciM4tLqLHhiRczjKd2kSwSWAncCYkuU6PdDyjZE37cbyMv,8579,3250242216745716
qzkkAjRoQckvDiHHVod21JBK9VwAHDxqACD44PUyhqckGokaD,8194,3170547835662030
qzphpYvryvfgPhykRHGA6dfNJggCyuWkLqrtbVG2fL7UMd2s3,8193,3470948060606317
qznf9mQwGAX7oqmyiNQ4cAm68d2S9Ayx8oV5dirMFPHFYgNPf,7675,2929094094881623
qzneChhG2NKkVycgweCDuBvksh4mvwNn58ySTcD6GYBHW5yLZ,7516,2858811280107912
