id,totalMinedBlocks,totalRewards
qzpShigRwEfoqWefYkCxCyHyyNMFV2rZtq7zgLQoN5JbwbWhE,32585,324711129504010233
qzn1a6f3ttc3NzkXLgKUJ1DD1GmVQ7W7C4bpjLaqDG8cVG3Jb,23273,231481326765829563
qzot2brxs5s468XbYh9D3NoYxpmnp8xkmWzibsqBPrFmqC6FJ,21309,212690416690012353
qzjuqy6MyJRV9fW87fb34VYXYhyEMqyaEtiWNnf3g9yoZdfmP,18043,178771571041042176
qznFyQNkVEqWM13sEq9E4qjT75s6Rfazi9Jq1pNaPpciJvyde,17291,172360540124597307
qznbFq2GaFvRC45d67FcU2e86SRu32ks6bqBfo4ofwjJUNR2d,14616,145580589379412919
qzoCszTr12UqAQUPmJU4UuVf98cpkWKEbiDdpZTG3WyYr73JS,11507,114420675427665667
qzmRRr2ZYMRJhP4BJtR5LeGt4atYGUjdq6pJ2YdwjLboTmhFn,6929,68760567420661953
qzjfz5bEM1ty3LcXoh1SfHgPWHbpx1n7SZ6ykEDd4e9wfw7XK,5621,55990224679506792
qznJ4dHSXqWw112iqxU3F8ZLV7kvTB7myut9r2DKnYfnrggEA,5266,52300374021011116
qzpffwT52TxEg2G8hmZ4NcJ1vjw788kyXX329VJzSSNuREkVU,4984,49680152076794937
qzp3cP18hQatXezUdyfgzL8JrogmJZzd8zi3HufzCXfXZe8a1,3782,37550278683008636
qzq6AsTmxoaTANy3mETvEKDHhFGjxLN9SPgi2rmcxttQfJenn,3554,35050514708660739
qzoqBe31EaycT5bp7V9nx686Fr255GvP2xa8XWjDRANFFsmeX,3496,34870096005252781
qzjgWhh2jhRFgD8fQnxp9HJXE34dx5XbPCXFUs6VnXFu8xHBj,3337,33260088018648396
qzn2fVfnQsb5TX1uQhfK1c1d6E6bR3BoHuynXADGi6KeGCkiM,2758,27530044015146557
qzocKmN2SvGyw1pmCwtnTSncfBkevxFfghqPsn9k6gzzQtVCV,2527,25180086727147767
qzn2CBXmMorWepWR6DVtpjXE1KwH21nuuoyHUExJEBptQ3k5A,2407,23970106672503090
qzpLQViE39bzEfnhuYdx5zUvgY4RJEmcdzTTrVmaovNQA9KrX,2296,22900064003501854
qzoAgZv6Qa9LK6sRA2FL6gdRdgcnkSW1MjFq4sUrmQssmrCvn,2045,20360096005252779
qzotCmuA9SRD5aqWzYnFAeSE9N8FhhhgnKQG4mu4h66kc1YYm,1780,17710096005252781
qzpgbvDxercT56sd9UyBwiGwEqH2igJniJGC8Y9J3K9kBkta9,1726,17200064003501854
qzkDSKxYbjpY51FjEkAFMbzpsm8THhnCXLubiKTdx3RfNYcGW,1647,16200288015758330
qzovQrRgRg29FYyh6aCjK1cHgjxiSQMwED6RjyLcHXnoHC45E,1637,16270117339753399
qzp9MgRYKtW3FEioPbmYb7D4D44R2AdqjQcU5kCCBGyREFfKw,1623,16210021334500618
qzjTMPKfiHxHepHUJgHpxxS61fULxTypp6ZruAMrd4jMVhugC,1617,15930246692902418
qzpp6Qze6kmfVHTECrcF3uBsdd6yKrTyf9fUe2xKUCxYYngdB,1611,16030076016897484
qznkYEdGrwLHWtyPFxSFjgzSBCSDiEwWYA4viEf59u1EcAKyc,1568,15660021334500618
qzkr2yeiTZsfbtwMaAx3wyPZtDhLo6TtZhGETynbsMQTP38VY,1522,15210010667250309
qzmbGP4bHDVZtPj5v6kYE9EJBxtZZ62edFz7bQKw7ZESxzaqp,1267,12630042669001236
qzjbKNCuikFtMYzGzQVcqWdMXtKAD5GmqWLkbSHRngVuddWrG,1250,12420085338002469
qzkwZ47Eusy8QsjnetvNXtJoPs8TtviP8Lceg2vErvLacHxQh,1209,12070021334500616
qzopaRR8MTRyQHh591rhEPZFZ39Ho6x8CZFji4YfKb6nq3C4i,998,9950032001750926
qzpQiSa39BUXmtnwNQYnaRCbx9L11yxXo1vhSZBYDQqmJGDVb,989,9880010667250309
qzkS7pAjzsqRW4qmq69PnGMHG89wZoEv5xPv9MxM2CfZCNZRi,982,9800021334500618
qzkpRnJwhowJ5dgBeNouESyaybQzcj5fRCBKwX2UP4CqbW7zU,976,9740021334500618
qzpqieMvB9uhiNJErsuyZbMozHUEbDBeCuZyQ3sVo8VRVZTvd,775,7730021334500618
qzp9qKHA33rLTfE17qSRkZiknDZy6ZJvhGSBHymkcZoGBigq1,697,6970000000000000
qzpb4YQqPLRL4Lg9VZWTnbcpBmyhxmqY1MmPSDjpwufkU4wJ6,692,6910010667250309
qznpFToYGPVuL7a1eKfuzT1zNa5Df7tXspjT4wrv4HzGb8HKb,644,6440000000000000
qzpdk2cFzawAFUd2xsRFDc4f9NPy6r5G7awWgniN1AiQxbAxA,634,6340000000000000
qzjXqoS5PAiJc1etGy2J257ncAJkELKW2oLTAUdiJn9VGUgyc,595,5950000000000000
qzn2WjBfpWW27vNjQLd759CeGZxLBHdypKHttFJEzB1n81DNG,594,5930000667250303
qzokWJfFjAqmaq8dENsP3esBLK64v9yhL5dHJ5AJqQhjq4ruP,564,5610032001750926
qzkQMv73GWFfLTus1QofEkbBHrh58e4TJihoEFL1HKvRLKsRy,484,4830010667250309
qzpTSJyj6Agt7Pui1L6RyxgLn2NqNw3ZqLYAP7u8nfUrgRnVM,316,3160000000000000
qzpoTFEvSgUwYpR3ePQz5K4rDwmTE46XoCDd1xefSfakZhMYd,313,3120000667250302
qzkXtGpBppBbjcJHWTfBj1uHLrBzWAo7PpbhC5j5pm483dWpb,310,3100000000000000
qzp5BiKYQTjeNudCT35NiJGDkB955yq7cSA4BRdivvYLB7r2m,306,3050010667250309
qznStFEBvfuwmVqJwLgEcDVfWg4rqGzmUampuGtvDSUfFAG7e,272,2710010667250309
qzopwzx6CtgsmdqBj8w3LMsTAjtWfBdSd1RoiSDrcQ35Weor2,236,2350010667250309
qzkhZnQmk1hBwfo3cb61amw294Vy3G5uK6BubpgVgfKALmb2P,230,2300000000000000
qzk8taXT3PPJJp87M4PbrMJa8vQG53QqShrFiJuiriJRgcwC3,224,2240000000000000
qzpg4T1Y37paXvNCYbvTsEEkkbnyX5KCujFfXo8hbgYT9arP7,222,2220000000000000
qzpnWUo1sYJsFV8tUjDAQ3und34XWAEVsgHnEvCXT9ZaQrpZu,216,2150010667250307
qzojGPxE7TPsyJztr5iQUA42CD6VrC3uyusj9K9xbH19br15z,211,2100010667250309
qzn57cH4DSFgeny98Mwgvt6N2oyniAbEA6nwG5XZj3nPh7rTc,166,1660000000000000
qzk1d27R76qRMJk4tHQHqaAsgww52MQapV7qXHMHTGJ8MJ5wy,164,1640000000000000
qzmaFUXhmE43YGCAZKLbC885GXmsVnbpRxT1174emvW4ujsha,149,1490000000000000
qzoDtmBWVbdyuMJp8ejuR855r5V6CokcfG1TmemAzsyEeZvnP,142,1380042669001236
qzpCkSFyjAXdHdRAUbRoPHKeFiG9srSewsceic1KwiBaQQZ9p,141,1410000000000000
qznvJC3UaskjTDgb5PxxofDaYmYVJA661tDwuAPQiFGNg1KPw,131,1310000000000000
qzpwjY2CW8HSHW2bD2bnoCFTg3Ce1vfNE8SZBnauSD2zVr1jn,127,1270000000000000
qzmg1qhH59h5CgCT9JHDbJbDt7XSVoY9kdgkHYJrsYxxjkArk,127,1250012056395604
qzjmpXSbCoUBcuEDaEK79tDcB44jghY2NZQTAgSmgEpUWvYzH,124,1240000000000000
qzkz8Hs7HoaB5qM2bCjrU17AR9SVn27wAZsAd5dpC3gWy1djx,115,1150000000000000
qzozTFK9guP1EUCkYnJCS2C4XHJHSrEVY4WxpoBUTKHBGpzEF,115,1150000000000000
qznMAKy1imKixFjJrLYgPAHUqEGzmuwSTDmaVRpnF2usvEwQv,111,1110000000000000
qzkgUmAJ2nJYvinnLhyXWsSzDC1yhmzm9sGoQduNdnXhVvvB5,110,1100000000000000
qzoSPiicYPizQYKvEJ37Gn2FajWFH1yoMTzccCZVvod1c8isv,107,1070000000000000
qzpj3m5o4AseZA9QY5XmNqcuDpUfgkVrETQWs9P93bhQ5zsnS,104,1040000000000000
qzjx4SHvfvHvC1CL2om1HFm5f7kFweRKpGCaEcWw4Px4phaSE,82,820000000000000
qzmr82yTMQTcVbUtJj9fEfFUi3oCVsBjXc8tuThDV1DdFKaXw,64,630010667250309
qznx4px2UTMrKYfg1BHAE6Y9jgh4nuujz7mLMA4V9FzKViZ19,40,400000000000000
qzoSiFZtJSBu55p4kFZNsyAntA5o8QZgi8xyZUFmdws9Nhd7t,33,320010667250309
qzpL6PmovJaHb6h6vbpQawEjf18o1X6gMVCqMZkBzALgyQvue,24,240000000000000
qznd1YWbgQrviV76psu5n8d24mHSuHtAc9JmJLB42gTELksvQ,13,130000000000000
qzq5Ui4a7zSeFhNTmixuYBkUDC8oRQAN12fysXXK92LTzksHF,11,110000000000000
qzmkhojzgAyXu28fRGCwNvZExbYTTrGAUAsjPYAKaasjQGs9S,8,80000000000000
qzpBGycREoVSFyopdsH6n2XAaVyKvZTBkSf3c9AGnJhwQ5YUb,6,60000000000000
qzoAovtRCni4t3PwgnjmiBm5hfYEui5jQ5cxWBVB2xnBLiHbt,4,40000000000000
qzp7coYcyvNNrt7BiqhyD61ubcxoHBKtsC688zz7Hmotuetuw,2,20000000000000
